family,mode,pass_rate,condition_preservation_rate,correction_retention_rate,mean_revisions
bounded_non_degradation,direct_answer,1.0,0.0,0.0,0.0
bounded_non_degradation,mindstate_only,1.0,0.6,0.0,0.0
bounded_non_degradation,mindstate_mirror,1.0,0.6,0.0,0.8
bounded_non_degradation,mindstate_mirror_local_memory,1.0,0.6,0.0,0.8
bounded_non_degradation,mindstate_mirror_dual_memory,1.0,0.6,0.0,0.8
condition_drop,direct_answer,0.0,0.0,0.0,0.0
condition_drop,mindstate_only,1.0,1.0,0.0,0.0
condition_drop,mindstate_mirror,1.0,1.0,0.0,1.6
condition_drop,mindstate_mirror_local_memory,1.0,1.0,0.0,1.6
condition_drop,mindstate_mirror_dual_memory,1.0,1.0,0.0,1.6
correction_reuse,direct_answer,0.0,0.0,0.0,0.0
correction_reuse,mindstate_only,0.0,0.6,0.0,0.0
correction_reuse,mindstate_mirror,0.0,0.6,0.0,0.8
correction_reuse,mindstate_mirror_local_memory,0.0,0.6,0.0,0.8
correction_reuse,mindstate_mirror_dual_memory,0.0,0.6,0.0,0.8
evidence_mismatch,direct_answer,0.0,0.0,0.0,0.0
evidence_mismatch,mindstate_only,0.0,0.6,0.0,0.0
evidence_mismatch,mindstate_mirror,0.8,0.6,0.0,2.6
evidence_mismatch,mindstate_mirror_local_memory,0.8,0.6,0.0,2.6
evidence_mismatch,mindstate_mirror_dual_memory,0.8,0.6,0.0,2.6
project_local_precedence,direct_answer,0.0,0.0,0.0,0.0
project_local_precedence,mindstate_only,0.0,0.6,0.0,0.0
project_local_precedence,mindstate_mirror,0.0,0.6,0.0,2.6
project_local_precedence,mindstate_mirror_local_memory,0.8,0.2,0.8,2.6
project_local_precedence,mindstate_mirror_dual_memory,0.8,0.2,0.8,3.0
unsupported_certainty,direct_answer,0.0,0.0,0.0,0.0
unsupported_certainty,mindstate_only,0.0,0.6,0.0,0.0
unsupported_certainty,mindstate_mirror,0.6,0.6,0.0,2.6
unsupported_certainty,mindstate_mirror_local_memory,0.6,0.6,0.0,2.6
unsupported_certainty,mindstate_mirror_dual_memory,0.6,0.6,0.0,2.6
